ward,category,period,actual_spend,previous_period,previous_actual_spend,growth_amount,growth_pct
Ward 5 – Hadapsar,Waste Management,2024-02,6.2,2024-01,5.4,0.8,14.81
Ward 5 – Hadapsar,Waste Management,2024-03,6.6,2024-02,6.2,0.4,6.45
Ward 5 – Hadapsar,Waste Management,2024-04,6.0,2024-03,6.6,-0.6,-9.09
Ward 5 – Hadapsar,Waste Management,2024-05,6.0,2024-04,6.0,0.0,0.0
Ward 5 – Hadapsar,Waste Management,2024-06,6.9,2024-05,6.0,0.9,15.0
Ward 5 – Hadapsar,Waste Management,2024-07,8.8,2024-06,6.9,1.9,27.54
Ward 5 – Hadapsar,Waste Management,2024-08,7.3,2024-07,8.8,-1.5,-17.05
Ward 5 – Hadapsar,Waste Management,2024-09,8.5,2024-08,7.3,1.2,16.44
Ward 5 – Hadapsar,Waste Management,2024-10,6.4,2024-09,8.5,-2.1,-24.71
Ward 5 – Hadapsar,Waste Management,2024-11,6.2,2024-10,6.4,-0.2,-3.13
Ward 5 – Hadapsar,Waste Management,2024-12,6.7,2024-11,6.2,0.5,8.06
