period,ward,category,actual_spend,growth,formula,notes
2024-05,Ward 4 – Warje,Roads & Pothole Repair,11.3,+28.4%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 4 – Warje,Roads & Pothole Repair,12.5,+10.6%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 4 – Warje,Roads & Pothole Repair,NULL,NULL,Cannot compute (Null Value),Audit freeze — figures under review
2024-08,Ward 4 – Warje,Roads & Pothole Repair,16.0,NULL,Cannot compute (Null Value),Preceding month (2024-07) had null spend
2024-09,Ward 4 – Warje,Roads & Pothole Repair,14.7,-8.1%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 4 – Warje,Roads & Pothole Repair,11.0,-25.2%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 4 – Warje,Roads & Pothole Repair,9.0,-18.2%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 4 – Warje,Roads & Pothole Repair,11.2,+24.4%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 4 – Warje,Streetlight Maintenance,3.1,n/a,n/a (First Period),
2024-02,Ward 4 – Warje,Streetlight Maintenance,2.8,-9.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 4 – Warje,Streetlight Maintenance,2.8,0.0%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 4 – Warje,Streetlight Maintenance,3.1,+10.7%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 4 – Warje,Streetlight Maintenance,2.8,-9.7%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 4 – Warje,Streetlight Maintenance,3.4,+21.4%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 4 – Warje,Streetlight Maintenance,4.2,+23.5%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 4 – Warje,Streetlight Maintenance,4.1,-2.4%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 4 – Warje,Streetlight Maintenance,4.0,-2.4%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 4 – Warje,Streetlight Maintenance,3.0,-25.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 4 – Warje,Streetlight Maintenance,2.6,-13.3%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 4 – Warje,Streetlight Maintenance,3.0,+15.4%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 4 – Warje,Waste Management,4.7,n/a,n/a (First Period),
2024-02,Ward 4 – Warje,Waste Management,4.1,-12.8%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 4 – Warje,Waste Management,3.7,-9.8%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 4 – Warje,Waste Management,4.7,+27.0%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 4 – Warje,Waste Management,4.5,-4.3%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 4 – Warje,Waste Management,5.0,+11.1%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 4 – Warje,Waste Management,5.4,+8.0%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 4 – Warje,Waste Management,5.1,-5.6%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 4 – Warje,Waste Management,6.4,+25.5%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 4 – Warje,Waste Management,4.9,-23.4%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 4 – Warje,Waste Management,4.4,-10.2%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 4 – Warje,Waste Management,4.7,+6.8%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 5 – Hadapsar,Drainage & Flooding,11.0,n/a,n/a (First Period),
2024-02,Ward 5 – Hadapsar,Drainage & Flooding,9.2,-16.4%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 5 – Hadapsar,Drainage & Flooding,9.5,+3.3%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 5 – Hadapsar,Drainage & Flooding,10.0,+5.3%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 5 – Hadapsar,Drainage & Flooding,11.2,+12.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 5 – Hadapsar,Drainage & Flooding,11.7,+4.5%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 5 – Hadapsar,Drainage & Flooding,13.9,+18.8%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 5 – Hadapsar,Drainage & Flooding,15.8,+13.7%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 5 – Hadapsar,Drainage & Flooding,12.8,-19.0%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 5 – Hadapsar,Drainage & Flooding,10.5,-18.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 5 – Hadapsar,Drainage & Flooding,11.1,+5.7%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 5 – Hadapsar,Drainage & Flooding,9.3,-16.2%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 5 – Hadapsar,Parks & Greening,2.8,n/a,n/a (First Period),
2024-02,Ward 5 – Hadapsar,Parks & Greening,2.4,-14.3%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 5 – Hadapsar,Parks & Greening,2.3,-4.2%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 5 – Hadapsar,Parks & Greening,2.8,+21.7%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 5 – Hadapsar,Parks & Greening,2.7,-3.6%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 5 – Hadapsar,Parks & Greening,3.0,+11.1%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 5 – Hadapsar,Parks & Greening,3.0,0.0%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 5 – Hadapsar,Parks & Greening,3.3,+10.0%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 5 – Hadapsar,Parks & Greening,3.1,-6.1%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 5 – Hadapsar,Parks & Greening,3.2,+3.2%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 5 – Hadapsar,Parks & Greening,2.3,-28.1%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 5 – Hadapsar,Parks & Greening,2.7,+17.4%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 5 – Hadapsar,Roads & Pothole Repair,15.3,n/a,n/a (First Period),
2024-02,Ward 5 – Hadapsar,Roads & Pothole Repair,12.9,-15.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 5 – Hadapsar,Roads & Pothole Repair,13.1,+1.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 5 – Hadapsar,Roads & Pothole Repair,12.2,-6.9%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 5 – Hadapsar,Roads & Pothole Repair,12.6,+3.3%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 5 – Hadapsar,Roads & Pothole Repair,17.9,+42.1%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 5 – Hadapsar,Roads & Pothole Repair,22.8,+27.4%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 5 – Hadapsar,Roads & Pothole Repair,24.6,+7.9%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 5 – Hadapsar,Roads & Pothole Repair,20.6,-16.3%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 5 – Hadapsar,Roads & Pothole Repair,18.4,-10.7%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 5 – Hadapsar,Roads & Pothole Repair,14.4,-21.7%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 5 – Hadapsar,Roads & Pothole Repair,12.6,-12.5%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 5 – Hadapsar,Streetlight Maintenance,3.4,n/a,n/a (First Period),
2024-02,Ward 5 – Hadapsar,Streetlight Maintenance,3.4,0.0%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 5 – Hadapsar,Streetlight Maintenance,4.1,+20.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 5 – Hadapsar,Streetlight Maintenance,4.1,0.0%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 5 – Hadapsar,Streetlight Maintenance,NULL,NULL,Cannot compute (Null Value),Equipment procurement delay
2024-06,Ward 5 – Hadapsar,Streetlight Maintenance,3.8,NULL,Cannot compute (Null Value),Preceding month (2024-05) had null spend
2024-07,Ward 5 – Hadapsar,Streetlight Maintenance,5.3,+39.5%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 5 – Hadapsar,Streetlight Maintenance,5.4,+1.9%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 5 – Hadapsar,Streetlight Maintenance,5.0,-7.4%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 5 – Hadapsar,Streetlight Maintenance,3.8,-24.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 5 – Hadapsar,Streetlight Maintenance,3.3,-13.2%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 5 – Hadapsar,Streetlight Maintenance,3.4,+3.0%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 5 – Hadapsar,Waste Management,5.4,n/a,n/a (First Period),
2024-02,Ward 5 – Hadapsar,Waste Management,6.2,+14.8%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 5 – Hadapsar,Waste Management,6.6,+6.5%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 5 – Hadapsar,Waste Management,6.0,-9.1%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 5 – Hadapsar,Waste Management,6.0,0.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 5 – Hadapsar,Waste Management,6.9,+15.0%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 5 – Hadapsar,Waste Management,8.8,+27.5%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 5 – Hadapsar,Waste Management,7.3,-17.0%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 5 – Hadapsar,Waste Management,8.5,+16.4%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 5 – Hadapsar,Waste Management,6.4,-24.7%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 5 – Hadapsar,Waste Management,6.2,-3.1%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 5 – Hadapsar,Waste Management,6.7,+8.1%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
